기존 컬럼명,데이터 타입,영어 컬럼명
날짜,DATE,date
아웃DB,INTEGER,db_outcall
자광DB,INTEGER,db_ads
글로벌아웃DB,INTEGER,db_outcall_global
글로벌자광DB,INTEGER,db_ads_global
아웃예약,INTEGER,reservation_outcall
자광예약,INTEGER,reservation_ads
글로벌아웃예약,INTEGER,reservation_outcall_global
글로벌자광예약,INTEGER,reservation_ads_global
아웃내원,INTEGER,visit_outcall
자광내원,INTEGER,visit_ads
글로벌아웃내원,INTEGER,visit_outcall_global
글로벌자광내원,INTEGER,visit_ads_global
인콜DB,INTEGER,db_incall
네이버DB,INTEGER,db_naver
홈피DB,INTEGER,db_homepage
플친문의,INTEGER,db_kakaotalk
왓츠앱DB,INTEGER,db_whatsapp
인스타DB,INTEGER,db_instagram	
대만라인DB,INTEGER,db_line_tw
공식위챗DB,INTEGER,db_wechat_official
업무위챗DB,INTEGER,db_wechat_biz
인콜예약,INTEGER,reservation_incall
네이버예약,INTEGER,reservation_naver
홈피예약,INTEGER,reservation_homepage
플친예약,INTEGER,reservation_kakaotalk
왓츠앱예약,INTEGER,reservation_whatsapp
인스타예약,INTEGER,reservation_instagram	
대만라인예약,INTEGER,reservation_line_tw
공식위챗예약,INTEGER,reservation_wechat_official
업무위챗예약,INTEGER,reservation_wechat_biz
네이버내원,INTEGER,visit_naver
홈피내원,INTEGER,visit_homepage
플친내원,INTEGER,visit_kakaotalk
왓츠앱내원,INTEGER,visit_whatsapp
인스타내원,INTEGER,visit_instagram
대만라인내원,INTEGER,visit_line_tw
위챗 내원,INTEGER,visit_wechat
