기존 컬럼명,데이터 타입,영어 컬럼명
uuid,STRING,uuid
진행상태,STRING,status
문의채널,STRING,inquiry_channel
문의일,DATETIME,inquiry_datetime
문의채널고객이름,STRING,channel_customer_name
고객실제이름(영어대문자),STRING,customer_name_en
유입경로자유기재,STRING,inflow_source_manual
GPT 기준 경로,STRING,gpt_inflow_path
GPT 기준 상세경로,STRING,gpt_inflow_path_detail
덴트웹 내원경로,STRING,dentweb_visit_path
상담회 회차,STRING,consult_event_round
폼링크(고객 전달용),STRING,form_link
링크 전달 유무,BOOLEAN,is_link_sent
상담회 참여일시,DATETIME,consult_event_datetime
내원예약일시,DATETIME,visit_reserved_datetime
차트번호,STRING,chart_id
상담실장,STRING,consultant_name
통역사,STRING,interpreter_name
예상매출,INTEGER,expected_revenue
실제매출,INTEGER,actual_revenue
비고,STRING,notes
